+ Add Milestone,+ നാഴികക്കല്ല് ചേർക്കുക
You have already reacted with '{0}',നിങ്ങൾ ഇതിനകം '{0}' ഉപയോഗിച്ച് പ്രതികരിച്ചിട്ടുണ്ട്
You have been assigned to task '{0}' in project '{1}'.,പ്രോജക്ട് '{1}'-ലെ ടാസ്ക് '{0}' നിങ്ങൾക്ക് അസൈൻ ചെയ്തിരിക്കുന്നു.
You have been assigned to: {0},നിങ്ങൾക്ക് അസൈൻ ചെയ്തിരിക്കുന്നു: {0}
You have been invited to the following appointment,ഇനിപ്പറയുന്ന അപ്പോയിന്റ്‌മെന്റിലേക്ക് നിങ്ങളെ ക്ഷണിച്ചിരിക്കുന്നു
You have no tasks assigned to you right now.,ഇപ്പോൾ നിങ്ങൾക്ക് അസൈൻ ചെയ്ത ടാസ്കുകൾ ഇല്ല.
You were mentioned in {0},നിങ്ങളെ {0}-ൽ പരാമർശിച്ചു
Your attendance,നിങ്ങളുടെ ഹാജർ
Your comment has been posted,നിങ്ങളുടെ അഭിപ്രായം പോസ്റ്റ് ചെയ്തു
Your Projects,നിങ്ങളുടെ പ്രോജക്ടുകൾ
Your projects will appear here once they're assigned to you.,നിങ്ങൾക്ക് അസൈൻ ചെയ്തുകഴിഞ്ഞാൽ നിങ്ങളുടെ പ്രോജക്ടുകൾ ഇവിടെ ദൃശ്യമാകും.
Your Response,നിങ്ങളുടെ പ്രതികരണം
Your RSVP,നിങ്ങളുടെ RSVP
Your support request has been submitted successfully.,നിങ്ങളുടെ പിന്തുണ അഭ്യർത്ഥന വിജയകരമായി സമർപ്പിച്ചു.
Your support request has been submitted successfully. We'll get back to you shortly.,നിങ്ങളുടെ പിന്തുണ അഭ്യർത്ഥന വിജയകരമായി സമർപ്പിച്ചു. ഉടൻ തന്നെ ഞങ്ങൾ നിങ്ങളെ ബന്ധപ്പെടും.
"Your task ""{0}"" is no longer blocked and can now be started.","നിങ്ങളുടെ ടാസ്ക് ""{0}"" ഇനി ബ്ലോക്ക് ചെയ്തിട്ടില്ല, ഇപ്പോൾ ആരംഭിക്കാം."
{0} is required,{0} ആവശ്യമാണ്
{0} new activities,{0} പുതിയ പ്രവർത്തനങ്ങൾ
{0} of {1} completed,{1}-ൽ {0} പൂർത്തിയായി
{0} projects already migrated (will be skipped or updated),{0} പ്രോജക്ടുകൾ ഇതിനകം മൈഗ്രേറ്റ് ചെയ്തു (ഒഴിവാക്കുകയോ അപ്‌ഡേറ്റ് ചെയ്യുകയോ ചെയ്യും)
{0} status changed to {1},{0} സ്ഥിതി {1}-ലേക്ക് മാറ്റി
{0} tasks remaining,{0} ടാസ്കുകൾ ശേഷിക്കുന്നു
{0} tasks without projects will be skipped,പ്രോജക്ടുകൾ ഇല്ലാത്ത {0} ടാസ്കുകൾ ഒഴിവാക്കും
{0} {1} not found,{0} {1} കണ്ടെത്തിയില്ല
