+ Add Milestone,+ ಮೈಲಿಗಲ್ಲು ಸೇರಿಸಿ
Send notification when a task is assigned to a user,ಬಳಕೆದಾರರಿಗೆ ಕಾರ್ಯ ನಿಯೋಜಿಸಿದಾಗ ಅಧಿಸೂಚನೆ ಕಳುಹಿಸಿ
Send notification when task status changes,ಕಾರ್ಯದ ಸ್ಥಿತಿ ಬದಲಾದಾಗ ಅಧಿಸೂಚನೆ ಕಳುಹಿಸಿ
Send reminder before task due date,ಕಾರ್ಯದ ಅಂತಿಮ ದಿನಾಂಕಕ್ಕೆ ಮೊದಲು ಜ್ಞಾಪನೆ ಕಳುಹಿಸಿ
sent,ಕಳುಹಿಸಲಾಗಿದೆ
Set rate,ದರ ಹೊಂದಿಸಿ
Settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳು
Settings saved successfully,ಸೆಟ್ಟಿಂಗ್‌ಗಳು ಯಶಸ್ವಿಯಾಗಿ ಉಳಿಸಲಾಗಿದೆ
Severity,ತೀವ್ರತೆ
SF (Start-Finish),SF (ಪ್ರಾರಂಭ-ಮುಕ್ತಾಯ)
SF - Start-to-Finish,SF - ಪ್ರಾರಂಭ-ಮುಕ್ತಾಯ
Show,ತೋರಿಸಿ
Show all,ಎಲ್ಲಾ ತೋರಿಸಿ
Show all changes,ಎಲ್ಲಾ ಬದಲಾವಣೆಗಳನ್ನು ತೋರಿಸಿ
Show Archived,ಆರ್ಕೈವ್ ಮಾಡಿದವು ತೋರಿಸಿ
Show full diff,ಪೂರ್ಣ ವ್ಯತ್ಯಾಸ ತೋರಿಸಿ
Show less,ಕಡಿಮೆ ತೋರಿಸಿ
Show more,ಇನ್ನಷ್ಟು ತೋರಿಸಿ
Skill added,ಕೌಶಲ ಸೇರಿಸಲಾಗಿದೆ
Skill is required,ಕೌಶಲ ಅಗತ್ಯ
Skill Name,ಕೌಶಲ ಹೆಸರು
Skill removed,ಕೌಶಲ ತೆಗೆದುಹಾಕಲಾಗಿದೆ
Skill {0} already exists for this resource,ಕೌಶಲ {0} ಈ ಸಂಪನ್ಮೂಲಕ್ಕೆ ಈಗಾಗಲೇ ಇದೆ
Skills,ಕೌಶಲಗಳು
Skills & Competencies,ಕೌಶಲಗಳು ಮತ್ತು ಸಾಮರ್ಥ್ಯಗಳು
Skip already migrated projects,ಈಗಾಗಲೇ ವರ್ಗಾಯಿಸಿದ ಯೋಜನೆಗಳನ್ನು ಬಿಟ್ಟುಬಿಡಿ
Sort by,ಕ್ರಮಗೊಳಿಸಿ
Sort: Due Date,ಕ್ರಮ: ಅಂತಿಮ ದಿನಾಂಕ
Sort: Priority,ಕ್ರಮ: ಆದ್ಯತೆ
Sort: Project,ಕ್ರಮ: ಯೋಜನೆ
Sort: Status,ಕ್ರಮ: ಸ್ಥಿತಿ
Sort: Task,ಕ್ರಮ: ಕಾರ್ಯ
Source Code,ಮೂಲ ಕೋಡ್
Spent,ಖರ್ಚಾಗಿದೆ
Spent:,ಖರ್ಚಾಗಿದೆ:
SS (Start-Start),SS (ಪ್ರಾರಂಭ-ಪ್ರಾರಂಭ)
SS - Start-to-Start,SS - ಪ್ರಾರಂಭ-ಪ್ರಾರಂಭ
Standalone,ಸ್ವತಂತ್ರ
Start,ಪ್ರಾರಂಭ
Start a discussion below,ಕೆಳಗೆ ಚರ್ಚೆ ಪ್ರಾರಂಭಿಸಿ
Start Date,ಪ್ರಾರಂಭ ದಿನಾಂಕ
Start date,ಪ್ರಾರಂಭ ದಿನಾಂಕ
Start Date (Earliest),ಪ್ರಾರಂಭ ದಿನಾಂಕ (ಹತ್ತಿರದ)
Start date updated,ಪ್ರಾರಂಭ ದಿನಾಂಕ ನವೀಕರಿಸಲಾಗಿದೆ
Start date/time is required,ಪ್ರಾರಂಭ ದಿನಾಂಕ/ಸಮಯ ಅಗತ್ಯ
Start Migration,ವರ್ಗಾವಣೆ ಪ್ರಾರಂಭಿಸಿ
Start the conversation below.,ಕೆಳಗೆ ಸಂಭಾಷಣೆ ಪ್ರಾರಂಭಿಸಿ.
Start Timer,ಟೈಮರ್ ಪ್ರಾರಂಭಿಸಿ
Start typing to search...,ಹುಡುಕಲು ಟೈಪ್ ಮಾಡಲು ಪ್ರಾರಂಭಿಸಿ...
Start-to-Finish,ಪ್ರಾರಂಭ-ಮುಕ್ತಾಯ
Start-to-Start,ಪ್ರಾರಂಭ-ಪ್ರಾರಂಭ
Start:,ಪ್ರಾರಂಭ:
Statistics reset,ಅಂಕಿಅಂಶಗಳು ಮರುಹೊಂದಿಸಲಾಗಿದೆ
Status,ಸ್ಥಿತಿ
Status assigned to new projects,ಹೊಸ ಯೋಜನೆಗಳಿಗೆ ನಿಯೋಜಿಸಲಾದ ಸ್ಥಿತಿ
Status assigned to new tasks,ಹೊಸ ಕಾರ್ಯಗಳಿಗೆ ನಿಯೋಜಿಸಲಾದ ಸ್ಥಿತಿ
Status Changes,ಸ್ಥಿತಿ ಬದಲಾವಣೆಗಳು
Status updated,ಸ್ಥಿತಿ ನವೀಕರಿಸಲಾಗಿದೆ
Status:,ಸ್ಥಿತಿ:
Stop,ನಿಲ್ಲಿಸಿ
Stop & Save,ನಿಲ್ಲಿಸಿ ಮತ್ತು ಉಳಿಸಿ
Stop Timer,ಟೈಮರ್ ನಿಲ್ಲಿಸಿ
Stops current timer and starts for this event,ಪ್ರಸ್ತುತ ಟೈಮರ್ ನಿಲ್ಲಿಸಿ ಈ ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಪ್ರಾರಂಭಿಸುತ್ತದೆ
Stops current timer and starts for this task,ಪ್ರಸ್ತುತ ಟೈಮರ್ ನಿಲ್ಲಿಸಿ ಈ ಕಾರ್ಯಕ್ಕೆ ಪ್ರಾರಂಭಿಸುತ್ತದೆ
Subject,ವಿಷಯ
Subject cannot exceed 255 characters,ವಿಷಯ 255 ಅಕ್ಷರಗಳನ್ನು ಮೀರಬಾರದು
Subject is required,ವಿಷಯ ಅಗತ್ಯ
Submit,ಸಲ್ಲಿಸಿ
Submit Another Request,ಇನ್ನೊಂದು ವಿನಂತಿ ಸಲ್ಲಿಸಿ
Submit Request,ವಿನಂತಿ ಸಲ್ಲಿಸಿ
Submitting...,ಸಲ್ಲಿಸಲಾಗುತ್ತಿದೆ...
Successfully saved,ಯಶಸ್ವಿಯಾಗಿ ಉಳಿಸಲಾಗಿದೆ
Successors (Blocking),ಉತ್ತರಾಧಿಕಾರಿಗಳು (ತಡೆಹಿಡಿಯುತ್ತಿದೆ)
Sun,ಭಾನು
Supplier,ಪೂರೈಕೆದಾರ
Support,ಬೆಂಬಲ
Switch to this event,ಈ ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಬದಲಾಯಿಸಿ
Switch to this task,ಈ ಕಾರ್ಯಕ್ಕೆ ಬದಲಾಯಿಸಿ
Sync direction is set to Frappe to Orga only,ಸಿಂಕ್ ದಿಕ್ಕು Frappe ನಿಂದ Orga ಗೆ ಮಾತ್ರ ಹೊಂದಿಸಲಾಗಿದೆ
Sync direction is set to Orga to Frappe only,ಸಿಂಕ್ ದಿಕ್ಕು Orga ನಿಂದ Frappe ಗೆ ಮಾತ್ರ ಹೊಂದಿಸಲಾಗಿದೆ
Sync not enabled for this project,ಈ ಯೋಜನೆಗೆ ಸಿಂಕ್ ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿಲ್ಲ
System,ಸಿಸ್ಟಂ
Table,ಕೋಷ್ಟಕ
Take ownership of this task,ಈ ಕಾರ್ಯದ ಮಾಲೀಕತ್ವ ತೆಗೆದುಕೊಳ್ಳಿ
Target Date,ಗುರಿ ದಿನಾಂಕ
Target End,ಗುರಿ ಅಂತ್ಯ
Target Project,ಗುರಿ ಯೋಜನೆ
Target user is required for '{0}' action,'{0}' ಕ್ರಿಯೆಗೆ ಗುರಿ ಬಳಕೆದಾರ ಅಗತ್ಯ
Task,ಕಾರ್ಯ
task,ಕಾರ್ಯ
Task '{0}' is due on {1}.,ಕಾರ್ಯ '{0}' ರ ಅಂತಿಮ ದಿನಾಂಕ {1}.
Task and resource are required,ಕಾರ್ಯ ಮತ್ತು ಸಂಪನ್ಮೂಲ ಅಗತ್ಯ
Task Assignment,ಕಾರ್ಯ ನಿಯೋಜನೆ
Task cannot be its own parent,ಕಾರ್ಯ ತನ್ನದೇ ಪೋಷಕವಾಗಿರಲು ಸಾಧ್ಯವಿಲ್ಲ
Task cannot depend on itself,ಕಾರ್ಯ ತನ್ನ ಮೇಲೆಯೇ ಅವಲಂಬಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ
Task cannot depend on the group it belongs to,ಕಾರ್ಯ ತಾನು ಸೇರಿರುವ ಗುಂಪಿನ ಮೇಲೆ ಅವಲಂಬಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ
Task created,ಕಾರ್ಯ ರಚಿಸಲಾಗಿದೆ
Task deleted,ಕಾರ್ಯ ಅಳಿಸಲಾಗಿದೆ
Task description has been saved.,ಕಾರ್ಯ ವಿವರಣೆ ಉಳಿಸಲಾಗಿದೆ.
Task Details,ಕಾರ್ಯ ವಿವರಗಳು
Task due in {0} days: {1},{0} ದಿನಗಳಲ್ಲಿ ಕಾರ್ಯ ಅಂತಿಮ: {1}
Task due today: {0},ಇಂದು ಕಾರ್ಯ ಅಂತಿಮ: {0}
Task due tomorrow: {0},ನಾಳೆ ಕಾರ್ಯ ಅಂತಿಮ: {0}
Task duplicated,ಕಾರ್ಯ ನಕಲಿಸಲಾಗಿದೆ
Task Group,ಕಾರ್ಯ ಗುಂಪು
Task ID is required,ಕಾರ್ಯ ಐಡಿ ಅಗತ್ಯ
Task is blocked by incomplete dependencies,ಅಪೂರ್ಣ ಅವಲಂಬನೆಗಳಿಂದ ಕಾರ್ಯ ತಡೆಹಿಡಿಯಲಾಗಿದೆ
Task is cancelled,ಕಾರ್ಯ ರದ್ದುಮಾಡಲಾಗಿದೆ
Task is completed,ಕಾರ್ಯ ಪೂರ್ಣಗೊಂಡಿದೆ
Task is no longer blocked by a group,ಕಾರ್ಯ ಇನ್ನು ಗುಂಪಿನಿಂದ ತಡೆಹಿಡಿಯಲ್ಪಟ್ಟಿಲ್ಲ
Task is required for task context,ಕಾರ್ಯ ಸಂದರ್ಭಕ್ಕೆ ಕಾರ್ಯ ಅಗತ್ಯ
Task is required when tracking context is 'task',ಟ್ರ್ಯಾಕಿಂಗ್ ಸಂದರ್ಭ 'task' ಆಗಿರುವಾಗ ಕಾರ್ಯ ಅಗತ್ಯ
Task linked,ಕಾರ್ಯ ಲಿಂಕ್ ಮಾಡಲಾಗಿದೆ
Task moved,ಕಾರ್ಯ ಸರಿಸಲಾಗಿದೆ
Task name,ಕಾರ್ಯದ ಹೆಸರು
Task name is required,ಕಾರ್ಯದ ಹೆಸರು ಅಗತ್ಯ
Task removed from group,ಕಾರ್ಯ ಗುಂಪಿನಿಂದ ತೆಗೆದುಹಾಕಲಾಗಿದೆ
Task Subject,ಕಾರ್ಯ ವಿಷಯ
Task subject is required,ಕಾರ್ಯ ವಿಷಯ ಅಗತ್ಯ
Task Type,ಕಾರ್ಯ ಪ್ರಕಾರ
Task unblocked: {0},ಕಾರ್ಯ ಅನ್‌ಬ್ಲಾಕ್ ಮಾಡಲಾಗಿದೆ: {0}
Task unlinked,ಕಾರ್ಯ ಅನ್‌ಲಿಂಕ್ ಮಾಡಲಾಗಿದೆ
Task updated,ಕಾರ್ಯ ನವೀಕರಿಸಲಾಗಿದೆ
Task {0} not found,ಕಾರ್ಯ {0} ಕಂಡುಬಂದಿಲ್ಲ
Task {0} not in project {1},ಕಾರ್ಯ {0} ಯೋಜನೆ {1} ಯಲ್ಲಿ ಇಲ್ಲ
Task {0} to Frappe,ಕಾರ್ಯ {0} Frappe ಗೆ
Tasks,ಕಾರ್ಯಗಳು
tasks,ಕಾರ್ಯಗಳು
Tasks and milestones will be created with dates relative to the project start date.,ಕಾರ್ಯಗಳು ಮತ್ತು ಮೈಲಿಗಲ್ಲುಗಳು ಯೋಜನೆ ಪ್ರಾರಂಭ ದಿನಾಂಕಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ದಿನಾಂಕಗಳೊಂದಿಗೆ ರಚಿಸಲಾಗುತ್ತದೆ.
Tasks assigned to you across all projects.,ಎಲ್ಲಾ ಯೋಜನೆಗಳಲ್ಲಿ ನಿಮಗೆ ನಿಯೋಜಿಸಲಾದ ಕಾರ್ಯಗಳು.
Tasks created:,ಕಾರ್ಯಗಳು ರಚಿಸಲಾಗಿದೆ:
Tasks from projects you manage.,ನೀವು ನಿರ್ವಹಿಸುವ ಯೋಜನೆಗಳ ಕಾರ್ಯಗಳು.
Tasks updated:,ಕಾರ್ಯಗಳು ನವೀಕರಿಸಲಾಗಿದೆ:
"Tasks, milestones, and dependencies have been created.","ಕಾರ್ಯಗಳು, ಮೈಲಿಗಲ್ಲುಗಳು ಮತ್ತು ಅವಲಂಬನೆಗಳು ರಚಿಸಲಾಗಿದೆ."
Tasks:,ಕಾರ್ಯಗಳು:
TBD,ನಿರ್ಧರಿಸಬೇಕು
Team,ತಂಡ
Team Members,ತಂಡ ಸದಸ್ಯರು
Template,ಟೆಂಪ್ಲೇಟ್
Template applied,ಟೆಂಪ್ಲೇಟ್ ಅನ್ವಯಿಸಲಾಗಿದೆ
Template data is required in import data,ಆಮದು ಡೇಟಾದಲ್ಲಿ ಟೆಂಪ್ಲೇಟ್ ಡೇಟಾ ಅಗತ್ಯ
Template has no data,ಟೆಂಪ್ಲೇಟ್‌ನಲ್ಲಿ ಡೇಟಾ ಇಲ್ಲ
Template Name,ಟೆಂಪ್ಲೇಟ್ ಹೆಸರು
Template name,ಟೆಂಪ್ಲೇಟ್ ಹೆಸರು
Template name is required,ಟೆಂಪ್ಲೇಟ್ ಹೆಸರು ಅಗತ್ಯ
Template name is required in import data,ಆಮದು ಡೇಟಾದಲ್ಲಿ ಟೆಂಪ್ಲೇಟ್ ಹೆಸರು ಅಗತ್ಯ
Template saved,ಟೆಂಪ್ಲೇಟ್ ಉಳಿಸಲಾಗಿದೆ
Template updated successfully.,ಟೆಂಪ್ಲೇಟ್ ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ.
Template {0} not found,ಟೆಂಪ್ಲೇಟ್ {0} ಕಂಡುಬಂದಿಲ್ಲ
Templates,ಟೆಂಪ್ಲೇಟ್‌ಗಳು
Tentative,ತಾತ್ಕಾಲಿಕ
The comment has been deleted,ಕಾಮೆಂಟ್ ಅಳಿಸಲಾಗಿದೆ
The project,ಯೋಜನೆ
The source document may have been deleted.,ಮೂಲ ದಾಖಲೆ ಅಳಿಸಲಾಗಿರಬಹುದು.
The source document will not be affected.,ಮೂಲ ದಾಖಲೆ ಪ್ರಭಾವಿತವಾಗುವುದಿಲ್ಲ.
The status of '{0}' was changed from {1} to {2}.,'{0}' ಸ್ಥಿತಿಯನ್ನು {1} ರಿಂದ {2} ಗೆ ಬದಲಾಯಿಸಲಾಗಿದೆ.
Theme,ಥೀಮ್
Theme preference,ಥೀಮ್ ಆದ್ಯತೆ
This action,ಈ ಕ್ರಿಯೆ
This action cannot be undone.,ಈ ಕ್ರಿಯೆಯನ್ನು ರದ್ದುಗೊಳಿಸಲಾಗುವುದಿಲ್ಲ.
This activity has been flagged for attention,ಈ ಚಟುವಟಿಕೆಯನ್ನು ಗಮನಕ್ಕೆ ಗುರುತಿಸಲಾಗಿದೆ
This is a reminder for your upcoming appointment,ಇದು ನಿಮ್ಮ ಮುಂಬರುವ ಅಪಾಯಿಂಟ್‌ಮೆಂಟ್‌ಗಾಗಿ ಒಂದು ಜ್ಞಾಪನೆ
This method is only meant for developer mode,ಈ ವಿಧಾನ ಡೆವಲಪರ್ ಮೋಡ್‌ಗೆ ಮಾತ್ರ
This page wandered off,This page wandered off
This Week,ಈ ವಾರ
This will delete all notes and preferences associated with this activity.,ಇದು ಈ ಚಟುವಟಿಕೆಗೆ ಸಂಬಂಧಿಸಿದ ಎಲ್ಲಾ ಟಿಪ್ಪಣಿಗಳು ಮತ್ತು ಆದ್ಯತೆಗಳನ್ನು ಅಳಿಸುತ್ತದೆ.
This will import all Frappe Projects into Orga. Continue?,ಇದು ಎಲ್ಲಾ Frappe Projects ಅನ್ನು Orga ಗೆ ಆಮದು ಮಾಡುತ್ತದೆ. ಮುಂದುವರಿಸುವುದೇ?
This will permanently delete,ಇದು ಶಾಶ್ವತವಾಗಿ ಅಳಿಸುತ್ತದೆ
This will permanently delete:,ಇದು ಶಾಶ್ವತವಾಗಿ ಅಳಿಸುತ್ತದೆ:
Thu,ಗುರು
Time,ಸಮಯ
Time & Billing,ಸಮಯ ಮತ್ತು ಬಿಲ್ಲಿಂಗ್
Time & Revenue,ಸಮಯ ಮತ್ತು ಆದಾಯ
Time Entries,ಸಮಯ ನಮೂದುಗಳು
Time log name is required,ಸಮಯ ದಾಖಲೆ ಹೆಸರು ಅಗತ್ಯ
Time Log not found,ಸಮಯ ದಾಖಲೆ ಕಂಡುಬಂದಿಲ್ಲ
Time log {0} not found,ಸಮಯ ದಾಖಲೆ {0} ಕಂಡುಬಂದಿಲ್ಲ
Time Logs,ಸಮಯ ದಾಖಲೆಗಳು
Time Summary,ಸಮಯ ಸಾರಾಂಶ
Time Tracking,ಸಮಯ ಟ್ರ್ಯಾಕಿಂಗ್
Timeline,ಟೈಮ್‌ಲೈನ್
Timer active on,ಟೈಮರ್ ಸಕ್ರಿಯವಾಗಿದೆ
Timer is not running,ಟೈಮರ್ ಚಾಲನೆಯಲ್ಲಿಲ್ಲ
Timer Running,ಟೈಮರ್ ಚಾಲನೆಯಲ್ಲಿದೆ
Timer running,ಟೈಮರ್ ಚಾಲನೆಯಲ್ಲಿದೆ
Timesheet DocType not available,Timesheet DocType ಲಭ್ಯವಿಲ್ಲ
Timesheets,ಟೈಮ್‌ಶೀಟ್‌ಗಳು
Timezone,ಸಮಯ ವಲಯ
Timezone is detected from your browser,ಸಮಯ ವಲಯವನ್ನು ನಿಮ್ಮ ಬ್ರೌಸರ್‌ನಿಂದ ಪತ್ತೆ ಮಾಡಲಾಗಿದೆ
Title,ಶೀರ್ಷಿಕೆ
Title cannot exceed 255 characters,ಶೀರ್ಷಿಕೆ 255 ಅಕ್ಷರಗಳನ್ನು ಮೀರಬಾರದು
Title is required,ಶೀರ್ಷಿಕೆ ಅಗತ್ಯ
Title updated,ಶೀರ್ಷಿಕೆ ನವೀಕರಿಸಲಾಗಿದೆ
To,ಗೆ
to,ಗೆ
to cancel,ರದ್ದುಮಾಡಲು
to close,ಮುಚ್ಚಲು
to confirm:,ದೃಢೀಕರಿಸಲು:
to edit,ಸಂಪಾದಿಸಲು
"to save,","ಉಳಿಸಲು,"
To Time cannot be before From Time,ಕೊನೆಯ ಸಮಯ ಆರಂಭ ಸಮಯಕ್ಕಿಂತ ಮುಂಚೆ ಇರಬಾರದು
Today,ಇಂದು
today,ಇಂದು
Toggle billable,ಬಿಲ್ ಮಾಡಬಹುದಾದ ಬದಲಿಸಿ
Toggle Details Panel,ವಿವರ ಪ್ಯಾನಲ್ ಬದಲಿಸಿ
Toggle Manager Panel,ಮ್ಯಾನೇಜರ್ ಪ್ಯಾನಲ್ ಬದಲಿಸಿ
Toggle Sidebar,ಸೈಡ್‌ಬಾರ್ ಬದಲಿಸಿ
Tomorrow,ನಾಳೆ
tomorrow,ನಾಳೆ
Total,ಒಟ್ಟು
Total Budget,ಒಟ್ಟು ಬಜೆಟ್
Total Contacts,ಒಟ್ಟು ಸಂಪರ್ಕಗಳು
Total Cost,ಒಟ್ಟು ವೆಚ್ಚ
Total Cost to Org,ಸಂಸ್ಥೆಗೆ ಒಟ್ಟು ವೆಚ್ಚ
Total Defect Cost,ಒಟ್ಟು ದೋಷ ವೆಚ್ಚ
Total Hours,ಒಟ್ಟು ಗಂಟೆಗಳು
Total Hours Logged,ದಾಖಲಿಸಿದ ಒಟ್ಟು ಗಂಟೆಗಳು
Total Projects,ಒಟ್ಟು ಯೋಜನೆಗಳು
Total Spent,ಒಟ್ಟು ಖರ್ಚು
Total Tasks,ಒಟ್ಟು ಕಾರ್ಯಗಳು
Total:,ಒಟ್ಟು:
Tracked,ಟ್ರ್ಯಾಕ್ ಮಾಡಲಾಗಿದೆ
trails to today while Open at 0%,0% ನಲ್ಲಿ ತೆರೆದಿರುವಾಗ ಇಂದಿನವರೆಗೆ ಹಿಂಬಾಲಿಸುತ್ತದೆ
Tried:,Tried:
Try adjusting your filter criteria,ನಿಮ್ಮ ಫಿಲ್ಟರ್ ಮಾನದಂಡಗಳನ್ನು ಹೊಂದಿಸಲು ಪ್ರಯತ್ನಿಸಿ
Try adjusting your filters.,ನಿಮ್ಮ ಫಿಲ್ಟರ್‌ಗಳನ್ನು ಹೊಂದಿಸಲು ಪ್ರಯತ್ನಿಸಿ.
Try Again,ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ
Tue,ಮಂಗಳ
Type,ಪ್ರಕಾರ
Type updated,ಪ್ರಕಾರ ನವೀಕರಿಸಲಾಗಿದೆ
Type:,ಪ್ರಕಾರ:
Typical response time: 1-2 business days,ವಿಶಿಷ್ಟ ಪ್ರತಿಕ್ರಿಯೆ ಸಮಯ: 1-2 ವ್ಯಾಪಾರ ದಿನಗಳು
Unarchive,ಆರ್ಕೈವ್ ರದ್ದುಮಾಡಿ
Unarchive Activity,ಚಟುವಟಿಕೆ ಆರ್ಕೈವ್ ರದ್ದುಮಾಡಿ
Unassign,ನಿಯೋಜನೆ ರದ್ದುಮಾಡಿ
Unassigned,ನಿಯೋಜಿಸಲಾಗಿಲ್ಲ
Under Budget,ಬಜೆಟ್‌ನಲ್ಲಿ
Ungrouped,ಗುಂಪುಮಾಡಿಲ್ಲ
Unknown,ಅಜ್ಞಾತ
Unknown error,ಅಜ್ಞಾತ ದೋಷ
Unlink failed,ಲಿಂಕ್ ತೆಗೆಯುವುದು ವಿಫಲವಾಯಿತು
Unlink task from milestone,ಮೈಲಿಗಲ್ಲಿನಿಂದ ಕಾರ್ಯ ಲಿಂಕ್ ತೆಗೆಯಿರಿ
Unpin,ಅನ್‌ಪಿನ್
Unpin Activity,ಚಟುವಟಿಕೆ ಅನ್‌ಪಿನ್ ಮಾಡಿ
Unread,ಓದಿಲ್ಲ
Unread only,ಓದಿಲ್ಲದವು ಮಾತ್ರ
Until,ವರೆಗೆ
Up to Date,Up to Date
Upcoming,ಮುಂಬರುವ
upcoming,ಮುಂಬರುವ
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,ನವೀಕರಣ ವಿಫಲವಾಯಿತು
Updated,ನವೀಕರಿಸಲಾಗಿದೆ
Updated successfully,ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ
Updates,Updates
Upload,ಅಪ್‌ಲೋಡ್
Upload failed,ಅಪ್‌ಲೋಡ್ ವಿಫಲವಾಯಿತು
Upload files below to attach them to this task.,ಈ ಕಾರ್ಯಕ್ಕೆ ಲಗತ್ತಿಸಲು ಕೆಳಗೆ ಫೈಲ್‌ಗಳನ್ನು ಅಪ್‌ಲೋಡ್ ಮಾಡಿ.
Upload to project,ಯೋಜನೆಗೆ ಅಪ್‌ಲೋಡ್ ಮಾಡಿ
Uploading...,ಅಪ್‌ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Urgent,ತುರ್ತು
User {0} is already linked to client {1},ಬಳಕೆದಾರ {0} ಈಗಾಗಲೇ ಗ್ರಾಹಕ {1} ಗೆ ಸಂಪರ್ಕಿತವಾಗಿದೆ
User {0} is already linked to resource {1},ಬಳಕೆದಾರ {0} ಈಗಾಗಲೇ ಸಂಪನ್ಮೂಲ {1} ಗೆ ಸಂಪರ್ಕಿತವಾಗಿದೆ
Utilization,ಬಳಕೆ
Valid,ಮಾನ್ಯ
Value:,ಮೌಲ್ಯ:
Variance,ವ್ಯತ್ಯಾಸ
Variance:,ವ್ಯತ್ಯಾಸ:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,ವೀಕ್ಷಿಸಿ
View All,ಎಲ್ಲಾ ವೀಕ್ಷಿಸಿ
View all active projects,ಎಲ್ಲಾ ಸಕ್ರಿಯ ಯೋಜನೆಗಳನ್ನು ವೀಕ್ಷಿಸಿ
View all open tasks,ಎಲ್ಲಾ ತೆರೆದ ಕಾರ್ಯಗಳನ್ನು ವೀಕ್ಷಿಸಿ
View overdue tasks,ಮೀರಿದ ಕಾರ್ಯಗಳನ್ನು ವೀಕ್ಷಿಸಿ
View Release,View Release
Visibility,ಗೋಚರತೆ
Waiting for this task,ಈ ಕಾರ್ಯಕ್ಕಾಗಿ ಕಾಯುತ್ತಿದೆ
Waits for:,ಕಾಯುತ್ತಿದೆ:
Warning: Resource {0} status is {1},ಎಚ್ಚರಿಕೆ: ಸಂಪನ್ಮೂಲ {0} ಸ್ಥಿತಿ {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,ಎಚ್ಚರಿಕೆ: HTTPS ಬದಲು HTTP ಬಳಸಲಾಗುತ್ತಿದೆ. Webhook ಪೇಲೋಡ್‌ಗಳು ಸುರಕ್ಷಿತವಾಗಿರದಿರಬಹುದು.
Watch budget closely,ಬಜೆಟ್ ಅನ್ನು ಹತ್ತಿರದಿಂದ ಗಮನಿಸಿ
We'll respond to:,ನಾವು ಇದಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತೇವೆ:
Webhook deleted,Webhook ಅಳಿಸಲಾಗಿದೆ
Webhook name is required,Webhook ಹೆಸರು ಅಗತ್ಯ
Webhook not found,Webhook ಕಂಡುಬಂದಿಲ್ಲ
Webhook URL is required,Webhook URL ಅಗತ್ಯ
Webhook URL must start with http:// or https://,Webhook URL http:// ಅಥವಾ https:// ನಿಂದ ಪ್ರಾರಂಭವಾಗಬೇಕು
Wed,ಬುಧ
Week,ವಾರ
Weekend,ವಾರಾಂತ್ಯ
Weekly Capacity,ಸಾಪ್ತಾಹಿಕ ಸಾಮರ್ಥ್ಯ
weekly capacity,ಸಾಪ್ತಾಹಿಕ ಸಾಮರ್ಥ್ಯ
Weekly Capacity (h),ಸಾಪ್ತಾಹಿಕ ಸಾಮರ್ಥ್ಯ (ಗಂ)
Welcome,ಸ್ವಾಗತ
Welcome back!,ಮರಳಿ ಸ್ವಾಗತ!
Welcome to Orga,Orga ಗೆ ಸ್ವಾಗತ
What are you working on?,ನೀವು ಏನು ಮಾಡುತ್ತಿದ್ದೀರಿ?
What did you work on?,ನೀವು ಏನು ಮಾಡಿದ್ದೀರಿ?
When,ಯಾವಾಗ
When work begins,ಕೆಲಸ ಪ್ರಾರಂಭವಾದಾಗ
When work is due,ಕೆಲಸ ಬಾಕಿ ಇರುವಾಗ
Where,ಎಲ್ಲಿ
Will capture:,ಹಿಡಿಯುತ್ತದೆ:
Will create:,ರಚಿಸುತ್ತದೆ:
with checklist items,ಪರಿಶೀಲನಾ ಪಟ್ಟಿ ಐಟಂಗಳೊಂದಿಗೆ
Working,ಕೆಲಸ ಮಾಡುತ್ತಿದೆ
Workload,ಕೆಲಸದ ಹೊರೆ
Workmanship,ಕೆಲಸಗಾರಿಕೆ
Write a comment...,ಕಾಮೆಂಟ್ ಬರೆಯಿರಿ...
Write a comment... Use @name to mention (Ctrl+Enter to send),ಕಾಮೆಂಟ್ ಬರೆಯಿರಿ... ಉಲ್ಲೇಖಿಸಲು @ಹೆಸರು ಬಳಸಿ (ಕಳುಹಿಸಲು Ctrl+Enter)
Year,ವರ್ಷ
Yes,ಹೌದು
Yesterday,ನಿನ್ನೆ
yesterday,ನಿನ್ನೆ
